such	such	ii21
man	man	nn1
all	all	db|rr
of	of	ii33
local	local	jj
place	place	nn1
always	always	rr
want	want	vv0
four	four	mc
New	new	np1
days	day	nnt2
school	school	nn1
her	her	ppho1
Mr	mr	nnb
might	might	vm
system	system	nn1
one	one	pn1
per	per	nnu21
cent	cent	nnu22
already	already	rr
community	community	nn1
case	case	nn1
help	help	vvi
made	make	vvn
when	when	rrq|cs
big	big	jj
A	a	at1|zz1
came	come	vvd
data	data	nn
months	month	nnt2
state	state	nn1
So	so	rr
five	five	mc
why	why	rrq
end	end	nn1
each	each	dd1
took	take	vvd
so	so	rg
former	former	da
social	social	jj
seen	see	vvn
know	know	vvi
news	news	nn1
going	go	vvgk
today	today	rt
must	must	vm
at	at	rr21
media	media	nn
able	able	jk
young	young	jj
lot	lot	nn1
need	need	vv0
power	power	nn1
know	know	vv0
best	best	jjt
industry	industry	nn1
so	so	cs|rr
students	student	nn2
important	important	jj
University	university	nn1
story	story	nn1
area	area	nn1
having	have	vhg
too	too	rg
home	home	nn1
told	tell	vvd
across	across	ii
percent	percent	nnu
market	market	nn1
season	season	nnt1
high	high	jj
most	most	dat
thing	thing	nn1
small	small	jj
well	well	rr
water	water	nn1
health	health	nn1
about	about	rg
much	much	da1
making	make	vvg
going	go	vvg
members	member	nn2
Canada	canada	np1
as	as	rg
get	get	vv0
went	go	vvd
fact	fact	nn1
film	film	nn1
companies	company	nn2
On	on	ii
ago	ago	ra
done	do	vdn
over	over	ii|rp
comments	comment	nn2
site	site	nn1
among	among	ii
so	so	rr
using	use	vvg
men	man	nn2
times	time	nnt2
public	public	jj|nn1
However	however	rr
doing	do	vdg
according	according	ii21
off	off	rp
month	month	nnt1
again	again	rt
taken	take	vvn
before	before	ii|cs
together	together	rl
One	one	mc1
if	if	cs|csw
often	often	rr
report	report	nn1
when	when	cs
With	with	iw
say	say	vvi
While	while	cs
point	point	nn1
services	service	nn2
so	so	rg|rr
U.S.	us	np1
night	night	nnt1
World	world	nn1
comes	come	vvz
law	law	nn1
players	player	nn2
find	find	vvi
side	side	nn1
within	within	ii
others	others	nn2
in	in	rp
old	old	jj
service	service	nn1
US	us	np1
development	development	nn1
National	national	jj
court	court	nn1
working	work	vvg
ever	ever	rr
real	real	jj
recent	recent	jj
more	more	rrr|dar
several	several	da2
including	including	ii|vvg
political	political	jj
At	at	ii
use	use	vvi
website	website	nn1
food	food	nn1
am	be	vbm
technology	technology	nn1
getting	get	vvg
come	come	vvi
looking	look	vvg
available	available	jj
full	full	jj
say	say	vv0
used	use	vvn
party	party	nn1
least	least	rr22
yet	yet	rr
ca	can	vm
American	american	jj
almost	almost	rr
Africa	africa	np1
South	south	np1
job	job	nn1
whether	whether	csw
person	person	nn1
By	by	ii
keep	keep	vvi
six	six	mc
project	project	nn1
national	national	jj
before	before	ii
taking	take	vvg
death	death	nn1
later	later	rrr
around	around	ii
countries	country	nn2
give	give	vvi
City	city	nn1
including	including	ii
actually	actually	rr
role	role	nn1
given	give	vvn
based	base	vvn
car	car	nn1
experience	experience	nn1
&amp;	-	cc
music	music	nn1
history	history	nn1
John	john	np1
major	major	jj
director	director	nn1
problem	problem	nn1
makes	make	vvz
name	name	nn1
research	research	nn1
more	more	dar|rrr
international	international	jj
use	use	nn1
series	series	nn
known	know	vvn
only	only	jj
growth	growth	nn1
security	security	nn1
up	up	rp|ii
book	book	nn1
away	away	rl
personal	personal	jj
financial	financial	jj
These	these	dd2
per	per	ii
policy	policy	nn1
large	large	jj
Australia	australia	np1
long	long	jj
where	where	rrq
possible	possible	jj
When	when	cs|rrq
as	as	ii31
house	house	nn1
free	free	jj
His	his	appge
All	all	db
York	york	np1
think	think	vvi
London	london	np1
price	price	nn1
event	event	nn1
billion	billion	nno
areas	area	nn2
decision	decision	nn1
as	as	ii33
well	well	ii32
Our	our	appge
issue	issue	nn1
body	body	nn1
current	current	jj
recently	recently	rr
trying	try	vvg
To	to	to
From	from	ii
hours	hour	nnt2
third	third	md
there	there	ex|rl
second	second	md
office	office	nn1
where	where	rrq|cs
provide	provide	vvi
process	process	nn1
over	over	rg
global	global	jj
games	game	nn2
idea	idea	nn1
Some	some	dd
show	show	nn1
woman	woman	nn1
added	add	vvd
Mr.	mr	nnb
My	my	appge
president	president	nn1
interest	interest	nn1
education	education	nn1
someone	someone	pn1
action	action	nn1
issues	issue	nn2
study	study	nn1
work	work	vvi
China	china	np1
see	see	vv0
economic	economic	jj
play	play	vvi
made	make	vvd
child	child	nn1
nothing	nothing	pn1
State	state	nn1
age	age	nn1
that	that	cs22
products	product	nn2
want	want	vvi
both	both	db2
Friday	friday	npd1
when	when	rrq
comment	comment	nn1
Minister	minister	nn1
found	find	vvn
According	according	ii21
statement	statement	nn1
especially	especially	rr
saying	saying	vvg
better	better	jjr
make	make	vv0
friends	friend	nn2
oil	oil	nn1
line	line	nn1
December	december	npm1
weeks	week	nnt2
parents	parent	nn2
Monday	monday	npd1
themselves	themselves	ppx2
anything	anything	pn1
strong	strong	jj
became	become	vvd
look	look	vvi
energy	energy	nn1
started	start	vvd
America	america	np1
Now	now	rt
Court	court	nn1
January	january	npm1
got	get	vvd
*	*	fu
users	user	nn2
performance	performance	nn1
behind	behind	ii
mother	mother	nn1
seems	seem	vvz
saw	see	vvd
video	video	nn1
Saturday	saturday	npd1
David	david	np1
Indian	indian	jj
head	head	nn1
go	go	vv0
because	because	ii21
everything	everything	pn1
rights	right	nn2
period	period	nn1
since	since	cs|ii
UK	uk	np1
to	to	ii|to
May	may	npm1
email	e-mail	nn1
July	july	npm1
problems	problem	nn2
father	father	nn1
believe	believe	vv0
currently	currently	rr
probably	probably	rr
had	have	vhn
player	player	nn1
United	united	np1
management	management	nn1
called	call	vvn
her	her	appge|ppho1
private	private	jj
playing	play	vvg
economy	economy	nn1
on	on	rp
began	begin	vvd
campaign	campaign	nn1
officials	official	nn2
New	new	jj
rate	rate	nn1
production	production	nn1
himself	himself	ppx1
Wednesday	wednesday	npd1
war	war	nn1
kind	kind	nn1
cookies	cookie	nn2
investment	investment	nn1
British	british	jj
couple	couple	nn1
staff	staff	nn
over	over	rp
whose	whose	ddqge
everyone	everyone	pn1
member	member	nn1
TV	tv	nn1
risk	risk	nn1
space	space	nn1
how	how	rgq|rrq
value	value	nn1
both	both	rr
much	much	da1|rr
result	result	nn1
as	as	csa|rg
coming	come	vvg
June	june	npm1
March	march	npm1
sure	sure	jj
cases	case	nn2
special	special	jj
tax	tax	nn1
minutes	minute	nnt2
April	april	npm1
record	record	nn1
question	question	nn1
early	early	jj
reason	reason	nn1
Tuesday	tuesday	npd1
difficult	difficult	jj
workers	worker	nn2
bad	bad	jj
events	event	nn2
room	room	nn1
on	on	rp
quality	quality	nn1
September	september	npm1
hand	hand	nn1
however	however	rr
sites	site	nn2
to	to	ii33
When	when	cs
similar	similar	jj
career	career	nn1
huge	huge	jj
Times	time	nnt2
November	november	npm1
latest	late	jjt
care	care	nn1
in	in	rp|ii
article	article	nn1
sense	sense	nn1
wife	wife	nn1
program	program	nn1
pay	pay	vvi
due	due	ii21
son	son	nn1
take	take	vv0
ensure	ensure	vvi
News	news	nn1
States	state	np1
Thursday	thursday	npd1
change	change	nn1
like	like	vvi
human	human	jj|nn1
itself	itself	ppx1
support	support	nn1
success	success	nn1
list	list	nn1
position	position	nn1
stories	story	nn2
As	as	csa
African	african	jj
legal	legal	jj
land	land	nn1
takes	take	vvz
cost	cost	nn1
sector	sector	nn1
biggest	big	jjt
An	a	at1
evidence	evidence	nn1
groups	group	nn2
club	club	nn1
region	region	nn1
become	become	vvi
opportunity	opportunity	nn1
words	word	nn2
property	property	nn1
October	october	npm1
wrote	write	vvd
continue	continue	vvi
schools	school	nn2
much	much	rr
Pakistan	pakistan	np1
kids	kid	nn2
certain	certain	jj
lives	life	nn2
course	course	rr22
President	president	nnb
road	road	nn1
likely	likely	jj
International	international	jj
network	network	nn1
gave	give	vvd
bring	bring	vvi
top	top	jj|nn1
various	various	jj
Cup	cup	nn1
far	far	rr
significant	significant	jj
create	create	vvi
prices	price	nn2
type	type	nn1
access	access	nn1
customers	customer	nn2
wanted	want	vvd
main	main	jj
town	town	nn1
amount	amount	nn1
morning	morning	nnt1
one	one	pn1|mc1
chance	chance	nn1
situation	situation	nn1
anyone	anyone	pn1
a	a	rr21
England	england	np1
else	else	rr
more	more	rgr|dar
forward	forward	rl
medical	medical	jj
simply	simply	rr
sales	sales	nn
Government	government	nn1
North	north	nd1
People	people	nn
off	off	ii|rp
leader	leader	nn1
friend	friend	nn1
use	use	vv0
impact	impact	nn1
form	form	nn1
Canadian	canadian	jj|nn1
moment	moment	nn1
stage	stage	nn1
Police	police	nn2
leaders	leader	nn2
nearly	nearly	rr
seven	seven	mc
movie	movie	nn1
Michael	michael	np1
quite	quite	rg
higher	high	jjr
got	get	vvn
heart	heart	nn1
up	up	ii21
level	level	nn1
building	building	nn1
made	make	vvd|vvn
feel	feel	vv0
once	once	rr
put	put	vvi
ways	way	nn2
after	after	cs|ii
Ireland	ireland	np1
Department	department	nn1
phone	phone	nn1
results	result	nn2
despite	despite	ii
popular	popular	jj
right	right	jj|nn1
product	product	nn1
soon	soon	rr
Europe	europe	np1
Not	not	xx
single	single	jj
House	house	nn1
Council	council	nn1
please	please	rr
August	august	npm1
conditions	condition	nn2
School	school	nn1
before	before	cs
families	family	nn2
Do	do	vd0
foreign	foreign	jj
air	air	nn1
even	even	cs21
society	society	nn1
How	how	rrq
goal	goal	nn1
set	set	vvn
fans	fan	nn2
goes	go	vvz
asked	ask	vvd
As	as	ii|csa
plan	plan	nn1
particularly	particularly	rr
happy	happy	jj
on	on	rp|ii
eight	eight	mc
true	true	jj
Sunday	sunday	npd1
with	with	ii22
if	if	cs22
hospital	hospital	nn1
manager	manager	nn1
largest	large	jjt
black	black	jj
much	much	rr|da1
student	student	nn1
serious	serious	jj
levels	level	nn2
art	art	nn1
control	control	nn1
little	little	jj
poor	poor	jj
nation	nation	nn1
since	since	ii
ability	ability	nn1
bank	bank	nn1
means	mean	vvz
wo	will	vm
hard	hard	jj
page	page	nn1
class	class	nn1
questions	question	nn2
towards	towards	ii
gets	get	vvz
near	near	ii
around	around	ii|rp
Toronto	toronto	np1
population	population	nn1
field	field	nn1
found	find	vvd
wants	want	vvz
too	too	rr
example	example	rex22
attention	attention	nn1
whole	whole	jj
previous	previous	jj
clear	clear	jj
Your	your	appge
include	include	vv0
Dr	dr	nnb
change	change	vvi
jobs	job	nn2
summer	summer	nnt1
teams	team	nn2
culture	culture	nn1
only	only	rr|jj
start	start	vvi
minister	minister	nn1
changes	change	nn2
future	future	nn1|jj
senior	senior	jj
as	as	csa|ii
model	model	nn1
content	content	nn1|jj
told	tell	vvd|vvn
February	february	npm1
articles	article	nn2
enough	enough	rr
loss	loss	nn1
common	common	jj
required	require	vvn
attacks	attack	nn2
gone	go	vvn
centre	center	nn1
although	although	cs
range	range	nn1
online	online	jj
rest	rest	nn1
right	right	nn1
board	board	nn1
since	since	cs
details	detail	nn2
relationship	relationship	nn1
knew	know	vvd
officer	officer	nn1
West	west	nd1
back	back	rp|nn1
tell	tell	vvi
white	white	jj
order	order	bcl22
Christmas	christmas	nnt1
federal	federal	jj
After	after	cs|ii
after	after	cs
around	around	rp
Australian	australian	jj
either	either	rr
South	south	nd1
civil	civil	jj
treatment	treatment	nn1
matter	matter	nn1
along	along	ii21
deal	deal	nn1
audience	audience	nn1
League	league	nn1
--	-	zz
football	football	nn1
markets	market	nn2
around	around	rg
said	say	vvd|vvn
officers	officer	nn2
entire	entire	jj
safety	safety	nn1
patients	patient	nn2
late	late	jj
need	need	vvi
Why	why	rrq
giving	give	vvg
than	than	ii22
daughter	daughter	nn1
numbers	number	nn2
need	need	nn1
looks	look	vvz
involved	involved	jj
released	release	vvn
James	james	np1
gas	gas	nn1
love	love	nn1
Group	group	nn1
allow	allow	vvi
until	until	cs|ii
view	view	nn1
responsible	responsible	jj
further	far	rrr
election	election	nn1
found	find	vvd|vvn
stop	stop	vvi
held	hold	vvn
businesses	business	nn2
earlier	early	rrr
open	open	jj
win	win	vvi
Many	many	da2
become	become	vvn
European	european	jj
views	view	nn2
capital	capital	nn1
environment	environment	nn1
violence	violence	nn1
if	if	csw|cs
look	look	vv0
successful	successful	jj
pressure	pressure	nn1
competition	competition	nn1
showed	show	vvd
face	face	nn1
military	military	jj
Then	then	rt
provides	provide	vvz
in	in	rr21
First	first	md
remains	remain	vvz
response	response	nn1
half	half	db
employees	employee	nn2
efforts	effort	nn2
understand	understand	vvi
thought	think	vvd
annual	annual	jj
version	version	nn1
authorities	authority	nn2
Health	health	nn1
natural	natural	jj
includes	include	vvz
source	source	nn1
certainly	certainly	rr
quickly	quickly	rr
fire	fire	nn1
residents	resident	nn2
newspaper	newspaper	nn1
scene	scene	nn1
income	income	nn1
agency	agency	nn1
thousands	thousand	nno2
term	term	nn1
through	through	ii|rp
parts	part	nn2
Chinese	chinese	jj
user	user	nn1
Here	here	rl
character	character	nn1
build	build	vvi
Rs	-	nnu2
Irish	irish	jj
interview	interview	nn1
investigation	investigation	nn1
projects	project	nn2
gives	give	vvz
design	design	nn1
so	so	cs21
East	east	nd1
meet	meet	vvi
title	title	nn1
benefits	benefit	nn2
lack	lack	nn1
drug	drug	nn1
about	about	ii|rp
order	order	nn1
via	via	ii
hands	hand	nn2
less	less	dar
buy	buy	vvi
Paul	paul	np1
unique	unique	jj
feel	feel	vvi
Street	street	nnl1
department	department	nn1
training	training	nn1
effect	effect	nn1
date	date	nn1
for	for	rex21
traditional	traditional	jj
Last	last	md
operations	operation	nn2
home	home	rl
try	try	vvi
past	past	jj|nn1
cancer	cancer	nn1
Britain	britain	np1
charges	charge	nn2
device	device	nn1
girl	girl	nn1
Centre	center	nn1
rates	rate	nn2
piece	piece	nn1
short	short	jj
original	original	jj
sex	sex	nn1
digital	digital	jj
funds	fund	nn2
ground	ground	nn1
A	a	zz1
weekend	weekend	nnt1
simple	simple	jj
investors	investor	nn2
perhaps	perhaps	rr
to	to	rg22
move	move	vvi
ones	one	nn2
parties	party	nn2
mind	mind	nn1
Although	although	cs
easy	easy	jj
though	though	cs
until	until	cs
resources	resource	nn2
husband	husband	nn1
well	well	rr22|rr
positive	positive	jj
Of	of	io
upon	upon	ii
message	message	nn1
majority	majority	nn1
told	tell	vvn
in	in	bcl21
shows	show	vvz
Photo	photo	nn1
show	show	vvi
attack	attack	nn1
systems	system	nn2
mobile	mobile	jj|nn1
Please	please	rr
Association	association	nn1
trade	trade	nn1
brand	brand	nn1
practice	practice	nn1
come	come	vvn
meeting	meeting	nn1
CEO	ceo	nn1
rules	rule	nn2
language	language	nn1
s	s	zz1
Nigeria	nigeria	np1
course	course	nn1
race	race	nn1
final	final	jj|nn1
needs	need	vvz
second	second	md|nnt1
activities	activity	nn2
Is	be	vbz
dead	dead	jj
choice	choice	nn1
up	up	rg21
girls	girl	nn2
effort	effort	nn1
low	low	jj
support	support	vvi
improve	improve	vvi
crisis	crisis	nn1
sometimes	sometimes	rt
approach	approach	nn1
finally	finally	rr
press	press	nn1
image	image	nn1
usually	usually	rr
cars	car	nn2
books	book	nn2
Dr.	dr	nnb
over	over	rp|ii
said	say	vvn
Media	media	nn
band	band	nn1
traffic	traffic	nn1
completely	completely	rr
happen	happen	vvi
Bank	bank	nn1
follow	follow	vvi
leave	leave	vvi
chief	chief	jj|nn1
release	release	nn1
compared	compare	vvn
called	call	vvn|vvd
crime	crime	nn1
decades	decade	nnt2
general	general	jj|nn1
nature	nature	nn1
budget	budget	nn1
trial	trial	nn1
talking	talk	vvg
communities	community	nn2
died	die	vvd
Twitter	twitter	nn1
interesting	interesting	jj
down	down	rp|ii
blood	blood	nn1
paper	paper	nn1
word	word	nn1
ball	ball	nn1
throughout	throughout	ii
software	software	nn1
science	science	nn1
Press	press	nn1
Today	today	rt
reasons	reason	nn2
quarter	quarter	nn1
strategy	strategy	nn1
of	of	rr21
Reuters	reuters	np1
stock	stock	nn1
better	better	rrr|jjr
share	share	nn1
construction	construction	nn1
central	central	jj
top	top	nn1|jj
agreement	agreement	nn1
as	as	cs33
opportunities	opportunity	nn2
force	force	nn1
reality	reality	nn1
song	song	nn1
each	each	ppx221
other	other	ppx222
bit	bit	nn1
modern	modern	jj
Just	just	rr
future	future	jj|nn1
incident	incident	nn1
basis	basis	nn1
yesterday	yesterday	rt
committee	committee	nn1
GMT	gmt	ra
conference	conference	nn1
goals	goal	nn2
Her	her	appge
United	united	jj
disease	disease	nn1
Asia	asia	np1
style	style	nn1
France	france	np1
Zealand	zealand	np1
High	high	jj
size	size	nn1
nine	nine	mc
appears	appear	vvz
fully	fully	rr
Islamic	islamic	jj
terms	terms	ii32
George	george	np1
movement	movement	nn1
love	love	vv0
pretty	pretty	rg
university	university	nn1
sexual	sexual	jj
Even	even	rr
climate	climate	nn1
homes	home	nn2
council	council	nn1
readers	reader	nn2
Office	office	nn1
Obama	obama	np1
beyond	beyond	ii
generation	generation	nn1
difference	difference	nn1
individuals	individual	nn2
left	leave	vvn
After	after	ii
partner	partner	nn1
allowed	allow	vvn
additional	additional	jj
Park	park	nn1
banks	bank	nn2
Two	two	mc
start	start	nn1
option	option	nn1
victims	victim	nn2
killed	kill	vvn
terms	term	nn2
photo	photo	nn1
find	find	vv0
adding	add	vvg
increase	increase	vvi
researchers	researcher	nn2
Act	act	nn1
picture	picture	nn1
skills	skill	nn2
debt	debt	nn1
points	point	nn2
credit	credit	nn1
with	with	ii33
War	war	nn1
learn	learn	vvi
more	more	rrr
greater	great	jjr
account	account	nn1
published	publish	vvn
television	television	nn1
Washington	washington	np1
stay	stay	vvi
cash	cash	nn1
mean	mean	vvi
revenue	revenue	nn1
letter	letter	nn1
come	come	vv0
myself	myself	ppx1
Congress	congress	nn1
California	california	np1
Apple	apple	nn1
past	past	jj
written	write	vvn
Another	another	dd1
leadership	leadership	nn1
worth	worth	ii
particular	particular	jj
put	put	vvn
San	san	np1
album	album	nn1
sale	sale	nn1
both	both	db2|rr
options	option	nn2
street	street	nn1
author	author	nn1
college	college	nn1
immediately	immediately	rr
contract	contract	nn1
decade	decade	nnt1
features	feature	nn2
programme	program	nn1
Also	also	rr
used	use	vmk
challenge	challenge	nn1
move	move	nn1
aware	aware	jj
live	live	vvi
so	so	rr|cs
places	place	nn2
no	no	rr21
Japan	japan	np1
During	during	ii
as	as	rr21|rg
both	both	rr|db2
Peter	peter	np1
century	century	nnt1
felt	feel	vvd
conversation	conversation	nn1
highly	highly	rr
necessary	necessary	jj
capacity	capacity	nn1
guidelines	guideline	nn2
Their	their	appge
cities	city	nn2
back	back	nn1
yourself	yourself	ppx1
continues	continue	vvz
though	though	cs22
province	province	nn1
box	box	nn1
College	college	nn1
exactly	exactly	rr
politics	politics	nn1
effective	effective	jj
consumers	consumer	nn2
standards	standard	nn2
from	from	ii22
review	review	nn1
stores	store	nn2
drugs	drug	nn2
Institute	institute	nn1
web	web	nn1
off	off	rp|ii
post	post	nn1
shown	show	vvn
infrastructure	infrastructure	nn1
average	average	jj|nn1
address	address	nn1
forces	force	nn2
ask	ask	vv0
store	store	nn1
off	off	ii
clearly	clearly	rr
demand	demand	nn1
maybe	maybe	rr
set	set	vvi
collection	collection	nn1
Ontario	ontario	np1
baby	baby	nn1
previously	previously	rr
County	county	nn1
star	star	nn1
independent	independent	jj
eventually	eventually	rr
specific	specific	jj
tour	tour	nn1
vehicle	vehicle	nn1
physical	physical	jj
born	born	vvn
commercial	commercial	jj
knowledge	knowledge	nn1
lead	lead	vvi
relevant	relevant	jj
long	long	rr
Most	most	dat
one	one	pn122
regular	regular	jj
advice	advice	nn1
best	best	jjt|rrt
outside	outside	ii
protect	protect	vvi
websites	website	nn2
run	run	vvi
Yes	yes	uh
shares	share	nn2
turn	turn	vvi
laws	law	nn2
ideas	idea	nn2
avoid	avoid	vvi
share	share	vvi
less	less	rgr
sports	sport	nn2
existing	existing	jj
massive	massive	jj
match	match	nn1
eye	eye	nn1
Americans	american	nn2
hundreds	hundred	nno2
plans	plan	nn2
potential	potential	jj|nn1
boy	boy	nn1
leaving	leave	vvg
look	look	nn1
murder	murder	nn1
brother	brother	nn1
Russia	russia	np1
track	track	nn1
hope	hope	vv0
lower	low	jjr
district	district	nn1
directly	directly	rr
offer	offer	vvi
knows	know	vvz
believes	believe	vvz
actions	action	nn2
religious	religious	jj
responsibility	responsibility	nn1
Despite	despite	ii
Center	center	nn1
guy	guy	nn1
before	before	rt
base	base	nn1
public	public	nn1|jj
God	god	np1
abuse	abuse	nn1
becoming	become	vvg
allows	allow	vvz
Commission	commission	nn1
believe	believe	vvi
station	station	nn1
perfect	perfect	jj
French	french	jj|nn1
watch	watch	vvi
made	make	vvn|vvd
how	how	rgq
won	win	vvd
brain	brain	nn1
pages	page	nn2
played	play	vvn
sell	sell	vvi
arrested	arrest	vvn
sport	sport	nn1
Paris	paris	np1
location	location	nn1
created	create	vvn
prison	prison	nn1
Smith	smith	np1
guys	guy	nn2
Those	those	dd2
older	old	jjr
debate	debate	nn1
key	key	jj
though	though	cs|rr
costs	cost	nn2
films	film	nn2
whom	whom	pnqo
President	president	nn1
hour	hour	nnt1
powerful	powerful	jj
Germany	germany	np1
play	play	nn1
Prime	prime	jj
longer	long	rr22
happened	happen	vvd
freedom	freedom	nn1
Party	party	nn1
increase	increase	nn1
sources	source	nn2
activity	activity	nn1
feet	foot	nn2
eyes	eye	nn2
professional	professional	jj
critical	critical	jj
creating	create	vvg
moving	move	vvg
partners	partner	nn2
bill	bill	nn1
from	from	ii22|ii
Year	year	nnt1
screen	screen	nn1
considered	consider	vvn
devices	device	nn2
led	lead	vvn
Singapore	singapore	np1
talk	talk	vvi
youth	youth	nn1
owners	owner	nn2
Company	company	nn1
effects	effect	nn2
corporate	corporate	jj
work	work	nn1|vv0
platform	platform	nn1
beautiful	beautiful	jj
ad	ad	nn1
got	get	vvd|vvn
away	away	ii21|rl
unit	unit	nn1
lost	lose	vvn
test	test	nn1
marriage	marriage	nn1
To	to	ii
domestic	domestic	jj
owner	owner	nn1
league	league	nn1
example	example	nn1
insurance	insurance	nn1
built	build	vvn
door	door	nn1
presence	presence	nn1
characters	character	nn2
highest	high	jjt
Chris	chris	np1
St.	st	np1
Ms	ms	nnb
card	card	nn1
voice	voice	nn1
this	this	dd1|rg
sent	send	vvn
focus	focus	nn1
images	image	nn2
challenges	challenge	nn2
as	as	csa|rg|ii
threat	threat	nn1
Well	well	rr
church	church	nn1
famous	famous	jj
rather	rather	ii21
give	give	vv0
left	leave	vvd
expected	expect	vvn|jj
easily	easily	rr
watching	watch	vvg
organization	organization	nn1
bit	bit	rr22
try	try	vv0
programs	program	nn2
other	other	jj|nn1
spokesman	spokesman	nn1
little	little	rr22
brought	bring	vvn
teachers	teacher	nn2
receive	receive	vvi
justice	justice	nn1
tried	try	vvd
ahead	ahead	ii21
Central	central	jj
paid	pay	vvn
discussion	discussion	nn1
material	material	nn1
Delhi	delhi	np1
experts	expert	nn2
peace	peace	nn1
comment	comment	vvi
close	close	jj
help	help	nn1
trip	trip	nn1
camera	camera	nn1
stuff	stuff	nn1
level	level	nn1|jj
status	status	nn1
names	name	nn2
concerned	concerned	jj
plant	plant	nn1
operation	operation	nn1
driver	driver	nn1
opposition	opposition	nn1
degree	degree	nn1
hotel	hotel	nn1
reduce	reduce	vvi
application	application	nn1
include	include	vvi
just	just	rr|jj
cricket	cricket	nn1
fine	fine	jj
millions	million	nno2
providing	provide	vvg
basic	basic	jj
putting	put	vvg
studies	study	nn2
keep	keep	vv0
to	to	to|ii
vehicles	vehicle	nn2
actor	actor	nn1
target	target	nn1
interested	interested	jj
reports	report	nn2
computer	computer	nn1
develop	develop	vvi
victory	victory	nn1
reach	reach	vvi
evening	evening	nnt1
expected	expect	vvn
Director	director	nn1
healthy	healthy	jj
played	play	vvd
weather	weather	nn1
ask	ask	vvi
administration	administration	nn1
key	key	jj|nn1
grow	grow	vvi
creative	creative	jj
following	follow	vvg|ii
clicking	click	vvg
decisions	decision	nn2
home	home	rl|nn1
weight	weight	nn1
policies	policy	nn2
Martin	martin	np1
right	right	jj
Meanwhile	meanwhile	rr
Development	development	nn1
normal	normal	jj
fresh	fresh	jj
happens	happen	vvz
writer	writer	nn1
mostly	mostly	rr
survey	survey	nn1
hear	hear	vvi
end	end	vvi
states	state	nn2
seeing	see	vvg
as	as	rg|csa
received	receive	vvn
content	content	nn1
extra	extra	jj
extremely	extremely	rr
official	official	jj|nn1
agencies	agency	nn2
condition	condition	nn1
advertising	advertising	nn1
as	as	cs31
hold	hold	vvi
